date,hour,upRegulationZeroCoded,upRegulationOneCoded,upRegulationTwoCoded,upRegulationDelivered,net
2026-03-14T00:00:00+03:00,00:00,1058.37,0.0,0,1018.8,985.8
2026-03-14T01:00:00+03:00,01:00,767.7,0.0,0,754.7,731.25
2026-03-14T02:00:00+03:00,02:00,389.97,0.0,0,388.97,359.57
2026-03-14T03:00:00+03:00,03:00,312.0,0.0,0,309.67,309.67
2026-03-14T04:00:00+03:00,04:00,468.5,0.0,0,466.29,427.79
2026-03-14T05:00:00+03:00,05:00,306.58,0.0,0,306.58,306.58
2026-03-14T06:00:00+03:00,06:00,0.0,0.0,0,0.0,-497.78
2026-03-14T07:00:00+03:00,07:00,0.0,350.0,0,350.0,-886.83
2026-03-14T08:00:00+03:00,08:00,393.73,350.0,0,702.8,491.17
2026-03-14T09:00:00+03:00,09:00,1333.58,104.0,0,1403.19,1403.19
2026-03-14T10:00:00+03:00,10:00,2033.0,0.0,0,2030.59,2030.59
2026-03-14T11:00:00+03:00,11:00,2656.0,0.0,0,2651.31,2651.31
2026-03-14T12:00:00+03:00,12:00,2523.0,0.0,0,2501.66,2501.66
2026-03-14T13:00:00+03:00,13:00,2365.5,0.0,0,2356.68,2356.68
2026-03-14T14:00:00+03:00,14:00,2708.25,0.0,0,2697.2,2697.2
2026-03-14T15:00:00+03:00,15:00,2199.75,0.0,0,2163.25,2163.25
2026-03-14T16:00:00+03:00,16:00,1624.7,0.0,0,1618.38,1577.97
2026-03-14T17:00:00+03:00,17:00,1688.92,200.0,0,1774.8,1586.66
2026-03-14T18:00:00+03:00,18:00,992.95,360.0,0,1284.48,1055.31
2026-03-14T19:00:00+03:00,19:00,65.83,360.0,0,422.44,-197.6
2026-03-14T20:00:00+03:00,20:00,247.5,360.0,0,604.43,291.19
2026-03-14T21:00:00+03:00,21:00,82.73,226.0,0,301.22,-149.28
2026-03-14T22:00:00+03:00,22:00,0.0,0.0,0,0.0,-290.78
2026-03-14T23:00:00+03:00,23:00,19.47,0.0,0,19.47,-474.99
2026-03-15T00:00:00+03:00,00:00,444.7,0.0,0,444.7,393.02
2026-03-15T01:00:00+03:00,01:00,483.07,0.0,0,472.5,429.08
2026-03-15T02:00:00+03:00,02:00,19.7,0.0,0,18.88,18.88
2026-03-15T03:00:00+03:00,03:00,413.95,0.0,0,364.99,364.99
2026-03-15T04:00:00+03:00,04:00,147.0,0.0,0,130.3,130.3
2026-03-15T05:00:00+03:00,05:00,172.0,0.0,0,161.54,-98.16
2026-03-15T06:00:00+03:00,06:00,7.8,0.0,0,7.8,-680.79
2026-03-15T07:00:00+03:00,07:00,258.08,0.0,0,246.99,-758.56
2026-03-15T08:00:00+03:00,08:00,0.0,0.0,0,0.0,-1331.73
2026-03-15T09:00:00+03:00,09:00,217.25,0.0,0,216.64,-990.32
2026-03-15T10:00:00+03:00,10:00,7.5,0.0,0,7.5,-662.5
2026-03-15T11:00:00+03:00,11:00,28.8,0.0,0,28.3,-573.19
2026-03-15T12:00:00+03:00,12:00,0.0,0.0,0,0.0,-416.11
2026-03-15T13:00:00+03:00,13:00,568.77,0.0,0,351.96,351.96
2026-03-15T14:00:00+03:00,14:00,1432.18,0.0,0,1047.03,1047.03
2026-03-15T15:00:00+03:00,15:00,543.75,0.0,0,542.82,278.67
2026-03-15T16:00:00+03:00,16:00,842.07,0.0,0,807.0,556.08
